Duration,Pulse,Maxpulse,Calories,Location
60,110,130,409.1,Chicago
60,117,145,479,Chicago
,103,135,,Chicago
45,109,175,282.4,Chicago
45,117,148,406,Chicago
9999,102,127,300,Chicago
60,110,136,374,Chicago
45,104,134,253.3,Chicago
30,109,133,195.1,Chicago
60,98,124,269,Chicago
60,103,147,329.3,Chicago
60,100,120,250.7,Chicago
60,106,128,345.3,Chicago
60,104,132,379.3,Chicago
60,98,123,275,Chicago
60,98,120,215.2,Chicago
60,100,120,300,Chicago
45,90,112,,Chicago
60,103,123,323,Chicago
45,97,125,243,Chicago
60,108,131,364.2,Chicago
45,100,119,282,Chicago
60,130,101,300,Chicago
45,105,132,246,California
60,102,126,334.5,California
60,100,120,250,California
60,92,118,241,California
60,103,132,,Chicago
60,100,132,280,California
60,102,129,380.3,New York
60,92,115,243,New York
45,90,112,180.1,New York
60,101,124,299,Chicago
60,93,113,223,Chicago
60,107,136,361,Chicago
60,114,140,415,Chicago
60,102,127,300,Chicago
60,100,120,300,Chicago
60,100,120,300,New Jersey
45,104,129,266,New Jersey
45,90,112,180.1,New Jersey
60,98,126,286,New Jersey
60,100,122,329.4,New Jersey
60,111,138,400,Chicago
60,111,131,397,Chicago
60,99,119,273,Chicago
60,109,153,387.6,Chicago
45,111,136,300,Chicago
45,108,129,298,Chicago
60,111,139,397.6,Chicago
60,107,136,380.2,Chicago
80,123,146,643.1,Chicago
60,106,130,263,Chicago
60,118,151,486,Chicago
30,136,175,238,Chicago
60,121,146,450.7,Chicago
60,118,121,413,Chicago
45,115,144,305,Chicago
20,153,172,226.4,Chicago
45,123,152,321,Chicago
210,108,160,1376,Chicago
160,110,137,1034.4,Chicago
160,109,135,853,Chicago
45,118,141,341,Chicago
20,110,130,131.4,Chicago
180,90,130,800.4,Chicago
150,105,135,873.4,Chicago
150,107,130,816,Chicago
20,106,136,110.4,Chicago
300,108,143,1500.2,Chicago
150,97,129,1115,Chicago
60,109,153,387.6,Chicago
90,100,127,700,New Jersey
150,97,127,953.2,California
45,114,146,304,California
90,98,125,563.2,California
45,105,134,251,California
45,110,141,300,California
120,100,130,500.4,California
270,100,131,1729,California
30,159,182,319.2,California
45,149,169,344,California
30,103,139,151.1,California
120,100,130,500,California
45,100,120,225.3,California
30,151,170,300,California
45,102,136,234,California
120,100,157,1000.1,California
45,129,103,242,California
20,83,107,50.3,California
180,101,127,600.1,California
45,107,137,,California
30,90,107,105.3,California
15,80,100,50.5,California
20,150,171,127.4,California
20,151,168,229.4,California
30,95,128,128.2,California
25,152,168,244.2,California
30,109,131,188.2,California
90,93,124,604.1,California
20,95,112,77.7,California
90,90,110,500,California
90,90,100,500,California
90,90,100,500.4,California
30,92,108,92.7,California
30,93,128,124,California
180,90,120,800.3,California
30,90,120,86.2,California
90,90,120,500.3,California
210,137,184,1860.4,California
60,102,124,325.2,California
45,107,124,275,California
15,124,139,124.2,Chicago
45,100,120,225.3,Chicago
60,108,131,367.6,Chicago
60,108,151,351.7,Washington DC
60,116,141,443,Chicago
60,97,122,277.4,Chicago
60,105,125,,Chicago
60,103,124,332.7,Chicago
30,112,137,193.9,Chicago
45,100,120,100.7,Chicago
60,119,169,336.7,Chicago
60,107,127,344.9,Chicago
60,111,151,368.5,Chicago
60,98,122,271,Chicago
60,97,124,275.3,Chicago
60,109,127,382,Chicago
90,99,125,466.4,Chicago
60,114,151,384,Chicago
60,104,134,342.5,Chicago
60,107,138,357.5,Chicago
60,103,133,335,Chicago
60,106,132,327.5,Chicago
60,103,136,339,Chicago
20,136,156,189,Chicago
45,117,143,317.7,Chicago
45,115,137,318,Chicago
45,113,138,308,Chicago
20,141,162,222.4,Chicago
60,108,135,390,California
60,97,127,,California
45,100,120,250.4,California
45,122,149,335.4,California
60,136,170,470.2,California
45,106,126,270.8,California
60,107,136,400,California
60,112,146,361.9,California
30,103,127,185,California
60,110,150,409.4,California
60,106,134,343,California
60,109,129,353.2,California
60,109,138,374,California
30,150,167,275.8,California
60,105,128,328,California
60,111,151,368.5,California
60,97,131,270.4,California
60,100,120,270.4,California
60,114,150,382.8,California
30,80,120,240.9,California
30,85,120,250.4,California
45,90,130,260.4,California
45,95,130,270,California
45,100,140,280.9,California
60,105,140,290.8,California
60,110,145,300,California
60,115,145,310.2,California
75,120,150,320.4,California
75,125,150,330.4,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,New York
,,,,New York
,,,,New York
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,New Jersey
,,,,New Jersey
,,,,New Jersey
,,,,New York
,,,,New York
,,,,New York
,,,,New York
,,,,New York
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,New York
,,,,New York
,,,,New York
,,,,New York
,,,,New York
,,,,New York
,,,,New York
,,,,New York
,,,,New York
,,,,New York
,,,,New York
,,,,New York
,,,,New York
,,,,New York
,,,,New York
,,,,New York
,,,,New York
,,,,New York
,,,,New York
,,,,New York
,,,,New York
,,,,New York
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,California
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
,,,,Chicago
